GO_ID	GO_Name	GO_Category	Enrichment	p_uncorrected	p_fdr_bh	Study_Count	Study_Total	Pop_Count	Pop_Total	Study_Genes	Depth
GO:1904879	positive regulation of calcium ion transmembrane transport via high voltage-gated calcium channel	BP	e	0.029254240682076726	1.0	1	229	2	15541	G6PD	10
GO:0043397	regulation of corticotropin-releasing hormone secretion	BP	e	0.029254240682076726	1.0	1	229	2	15541	HTR2C	9
GO:0099152	regulation of neurotransmitter receptor transport, endosome to postsynaptic membrane	BP	e	0.029254240682076726	1.0	1	229	2	15541	GRIPAP1	9
GO:0060599	lateral sprouting involved in mammary gland duct morphogenesis	BP	e	0.029254240682076726	1.0	1	229	2	15541	AR	6
GO:0019322	pentose biosynthetic process	BP	e	0.029254240682076726	1.0	1	229	2	15541	G6PD	7
GO:0045926	negative regulation of growth	BP	e	0.025036305904050458	1.0	7	229	194	15541	AGTR2,DDX3X,FHL1,G6PD,GPC3,PLXNA3,RBBP7	4
GO:0090190	positive regulation of branching involved in ureteric bud morphogenesis	BP	e	0.025419072535003844	1.0	2	229	17	15541	AGTR2,MAGED1	7
GO:0070525	tRNA threonylcarbamoyladenosine metabolic process	BP	e	0.025419072535003844	1.0	2	229	17	15541	HSD17B10,LAGE3	8
GO:1902116	negative regulation of organelle assembly	BP	e	0.026849773648856507	1.0	3	229	44	15541	NBDY,USP9X,WDR44	7
GO:0043484	regulation of RNA splicing	BP	e	0.02736143882601017	1.0	6	229	155	15541	AFF2,FAM50A,HNRNPH2,MBNL3,PQBP1,RBMX	8
GO:0043123	positive regulation of canonical NF-kappaB signal transduction	BP	e	0.028910712724236353	1.0	7	229	200	15541	BTK,EDA,FLNA,IRAK1,MID2,PIM2,TAB3	8
GO:1902292	cell cycle DNA replication initiation	BP	e	0.029254240682076726	1.0	1	229	2	15541	POLA1	8
GO:0002033	angiotensin-mediated vasodilation involved in regulation of systemic arterial blood pressure	BP	e	0.029254240682076726	1.0	1	229	2	15541	AGTR2	8
GO:1903939	regulation of TORC2 signaling	BP	e	0.017507078004604135	1.0	2	229	14	15541	OTUD5,USP9X	8
GO:0002693	positive regulation of cellular extravasation	BP	e	0.017507078004604135	1.0	2	229	14	15541	CD99,XG	8
GO:0002755	MyD88-dependent toll-like receptor signaling pathway	BP	e	0.017507078004604135	1.0	2	229	14	15541	BTK,IRAK1	12
