GO_ID	Category
GO:0060435	development
GO:0072198	development
GO:0021772	development
GO:0070168	development
GO:2000062	development
GO:0061333	development
GO:0014816	development
GO:0048570	development
GO:0072189	development
GO:0048852	development
GO:0048070	development
GO:0048866	development
GO:0003431	development
GO:1903010	development
GO:0010883	development
GO:0045606	development
GO:0002752	development
GO:0060562	development
GO:0141084	development
GO:0060532	development
GO:0060412	development
GO:0072283	development
GO:0090335	development
GO:1901346	development
GO:0048935	development
GO:0090245	development
GO:0072282	development
GO:0010830	development
GO:0035846	development
GO:0060792	development
GO:0039529	development
GO:0060535	development
GO:0060603	development
GO:0061371	development
GO:0035677	development
GO:0045621	development
GO:0048666	development
GO:0021513	development
GO:1990134	development
GO:0060021	development
GO:0031443	development
GO:2000594	development
GO:0003006	development
GO:0021562	development
GO:0002011	development
GO:2000791	development
GO:0045171	development
GO:0046548	development
GO:0007283	development
GO:0002069	development
GO:1901330	development
GO:0042692	development
GO:1905222	development
GO:2000738	development
GO:0060496	development
GO:0007423	development
GO:0030219	development
GO:0042670	development
GO:0003157	development
GO:0004707	development
GO:0021591	development
GO:0060674	development
GO:0002076	development
GO:0010724	development
GO:0097536	development
GO:0003129	development
GO:0060751	development
GO:0048745	development
GO:0060119	development
GO:0060900	development
GO:0038187	development
GO:0007356	development
GO:0048701	development
GO:0035128	development
GO:0003142	development
GO:0010745	development
GO:0003253	development
GO:0072197	development
GO:0061303	development
GO:0042474	development
GO:0048812	development
GO:0072255	development
GO:1905040	development
GO:0034657	development
GO:0060706	development
GO:0032878	development
GO:0072237	development
GO:0072219	development
GO:0072070	development
GO:0043049	development
GO:0005550	development
GO:0060113	development
GO:0072210	development
GO:0071109	development
GO:0060768	development
GO:0001709	development
GO:0039019	development
GO:0003311	development
GO:1905317	development
GO:2000982	development
GO:0045619	development
GO:0060415	development
GO:0007566	development
GO:0019915	development
GO:0048762	development
GO:0072278	development
GO:0045843	development
GO:0035502	development
GO:0044338	development
GO:0045602	development
GO:0035108	development
GO:0061626	development
GO:0045065	development
GO:0001712	development
GO:0060782	development
GO:1905332	development
GO:0060411	development
GO:0003183	development
GO:1904958	development
GO:0001569	development
GO:0045630	development
GO:0021892	development
GO:0061564	development
GO:2000794	development
GO:0022612	development
GO:0042063	development
GO:0003221	development
GO:0045625	development
GO:0035914	development
GO:0030853	development
GO:0045165	development
GO:0021563	development
GO:0072576	development
GO:0021893	development
GO:0007565	development
GO:0021702	development
GO:0042074	development
GO:0048642	development
GO:0061314	development
GO:0019100	development
GO:0097402	development
GO:0048814	development
GO:0048844	development
GO:0048382	development
GO:0050773	development
GO:0032831	development
GO:2000798	development
GO:0000803	development
GO:0060875	development
GO:0061344	development
GO:0021548	development
GO:0055001	development
GO:0072193	development
GO:0060718	development
GO:0055014	development
GO:0060487	development
GO:0035545	development
GO:0060290	development
GO:0048752	development
GO:0072305	development
GO:0060789	development
GO:0003309	development
GO:0072014	development
GO:0060083	development
GO:0031128	development
GO:0001923	development
GO:0060133	development
GO:1905314	development
GO:0060956	development
GO:2000043	development
GO:0035050	development
GO:0048514	development
GO:0042093	development
GO:0010976	development
GO:0060598	development
GO:0060502	development
GO:0003208	development
GO:0046619	development
GO:0021542	development
GO:0070375	development
GO:0090184	development
GO:0007354	development
GO:0042492	development
GO:0001541	development
GO:0048599	development
GO:0061696	development
GO:0061301	development
GO:2000171	development
GO:0002300	development
GO:0060922	development
GO:0045599	development
GO:0048332	development
GO:0021998	development
GO:2000740	development
GO:0060575	development
GO:0061037	development
GO:0090425	development
GO:0001757	development
GO:0045445	development
GO:1905934	development
GO:0039003	development
GO:0033084	development
GO:0051093	development
GO:0045601	development
GO:0042482	development
GO:0048319	development
GO:2001015	development
GO:0007521	development
GO:0048625	development
GO:0014032	development
GO:0061580	development
GO:0035295	development
GO:0060948	development
GO:0045992	development
GO:0097029	development
GO:0009794	development
GO:0060040	development
GO:0051451	development
GO:0008340	development
GO:0032829	development
GO:0009887	development
GO:0032525	development
GO:1904830	development
GO:0060931	development
GO:0048515	development
GO:0060318	development
GO:1905932	development
GO:0072033	development
GO:0048703	development
GO:0003210	development
GO:0048880	development
GO:0043371	development
GO:0003285	development
GO:0055006	development
GO:0090677	development
GO:0072289	development
GO:0019102	development
GO:1904177	development
GO:0097084	development
GO:0043010	development
GO:0061525	development
GO:0043372	development
GO:0033077	development
GO:0048864	development
GO:0048675	development
GO:0002416	development
GO:0045582	development
GO:0002268	development
GO:0030903	development
GO:0030222	development
GO:0150019	development
GO:0003169	development
GO:0060996	development
GO:0061146	development
GO:1905772	development
GO:1903226	development
GO:0060074	development
GO:0072169	development
GO:0035261	development
GO:0010831	development
GO:0061189	development
GO:0060594	development
GO:0044691	development
GO:1903929	development
GO:0003140	development
GO:0003406	development
GO:0021895	development
GO:0061304	development
GO:0007399	development
GO:0001893	development
GO:0048538	development
GO:0021660	development
GO:0030097	development
GO:0021778	development
GO:0072177	development
GO:2000027	development
GO:0042664	development
GO:0061326	development
GO:0072214	development
GO:0010721	development
GO:1904120	development
GO:0099608	development
GO:0021983	development
GO:0042489	development
GO:2000725	development
GO:0043367	development
GO:0060126	development
GO:0021985	development
GO:0035804	development
GO:0060441	development
GO:0060713	development
GO:0006711	development
GO:0002327	development
GO:0001701	development
GO:0045629	development
GO:0061101	development
GO:2001206	development
GO:0061309	development
GO:0090194	development
GO:0060912	development
GO:0042249	development
GO:0007422	development
GO:0035905	development
GO:1902746	development
